customer_id,age_group,gender,country,customer_segment,account_type,transaction_id,transaction_date,transaction_amount,transaction_type,channel,merchant_category,fraud_flag,credit_score,risk_rating,complaint_count,mobile_app_usage,internet_banking_usage,login_frequency,income_band,loan_balance,deposit_balance,repayment_status,branch_code,transaction_status,processing_time
CUST01047,18-25,Female,South Africa,SME,CURRENT,TXN000081,08/08/2024,1250.42,deposit,Branch,Travel,0,340,Medium,-1,,,9999,>1M,,167111.27,Default,br007,Pending,-2
CUST01079,,F,Tanzania,,Current,TXN000175,12/07/2024,1143.92,deposit,Internet Banking,Retail,0,646,Low,1,0,No,9999,500k-1M,395733.12,390274.31,LATE,BR004,completed,-2
CUST01240,56-65,male,Uganda,Corporate,savings,TXN000350,08/12/2024,2347.76,Payment,Internet Banking,Retail,1,999,Low,0,Yes,Yes,38,>1M,251647.71,317112.55,N/A,BR002,Failed,600
CUST01184,36-45,male,GHANA,,Savings,TXN000151,28/01/2024,8411.2,Airtime,ATM,,Yes,999,HIGH,3,Yes,No,9999,500k-1M,,686970.92,current,BR002,Completed,
CUST01026,65+,female,KENYA,SME,savings,TXN000072,06/01/2024,1603.66,Payment,Internet Banking,Groceries,0,440,low,2,0,FALSE,9999,500k-1M,,256934.16,Late,BR-006,Pending,5.2
CUST01206,46-55,male,Egypt,SME,savings,TXN000016,06/12/2024,851.98,deposit,Mobile App,Retail,0,,HIGH,2,1,Yes,,,-1000,485329.26,LATE,BR005,Pending,600
CUST01285,36-45,female,Egypt,,Savings,TXN000455,14/11/2024,605.47,Payment,mobile app,Education,Yes,999,Low,,No,No,,>1M,,266409.68,Current,BR005,Pending,-2
CUST01126,46-55,F,TZ,SME,Savings,TXN000225,23/01/2024,3464.93,deposit,mobile app,Fuel,0,-50,Medium,2,Yes,Yes,9999,150k-500k,384303.2,340558.11,Default,BR002,Completed,3.22
CUST01403,56-65,Female,Nigria,,savings,TXN000289,16/07/2024,1937.51,deposit,atm,Telecom,0,999,Medium,2,1,TRUE,37,50k-150k,54003.29,476140.09,Current,BR001,Failed,
CUST01030,18-25,F,Egypt,Student,Wallet,TXN000224,04/19/2024,471.12,Payment,atm,Retail,,,Low,0,Y,,9999,,476380.07,462497.16,N/A,BR-006,Failed,
CUST01029,,male,kenya,Retail,CURRENT,TXN000331,24/09/2024,1346.65,Transfer,Branch,Misc,0,1500,HIGH,2,N,,9999,,-1000,99753.27,current,BR001,completed,
CUST01073,26-35,Male,EGYPT,Student,Savings,TXN000221,17/09/2024,2124.33,Withdrawal,atm,Misc,0,-50,Med,,N,,60,50k-150k,,278282.85,Default,BR001,Failed,
CUST01396,65+,M,EGYPT,,Savings,TXN000061,10/05/2024,966.1,WITHDRAWAL,Internet Banking,Misc,1,,Medium,0,,Yes,28,150k-500k,,797809.92,current,BR002,Completed,-2
CUST01362,18-25,Male,Tanzania,SME,Savings,TXN000523,07/11/2024,,Payment,POS,Healthcare,No,-50,High,0,Yes,Yes,9999,500k-1M,,405690.85,Current,br007,Failed,
CUST01331,46-55,F,Tanzania,,savings,TXN000023,27/04/2024,7577.18,Deposit,USSD,Education,,1500,Medium,,,FALSE,45,500k-1M,-1000,417397.4,current,BR005,Reversed,600
CUST01355,36-45,Female,EGYPT,Student,Fixed Deposit,TXN000210,01/05/2024,253.54,deposit,Mobile App,,0,-50,Medium,,Y,,,>1M,242380.09,404476.89,LATE,BR002,Reversed,-2
CUST01315,,,Uganda,,Fixed Deposit,TXN000363,11/03/2024,6464.47,Withdrawal,Mobile App,Utilities,0,1500,Low,2,Y,,,500k-1M,-1000,640937.58,Current,BR-006,completed,600
CUST01009,,M,S. Africa,Retail,Savings,TXN000453,24/06/2024,4339.48,Payment,atm,Groceries,,682,Med,2,,FALSE,9999,500k-1M,279986.13,637979.69,LATE,BR-006,Reversed,600
CUST01058,26-35,Female,GHANA,Retail,Current,TXN000292,01/02/2024,2322.19,WITHDRAWAL,Internet Banking,Travel,0,668,Med,0,No,TRUE,11,<50k,-1000,139427.62,Default,BR002,Pending,
